dataset,model,g,step,tau,bor,wf1,wf1_1to1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
superseg,csm,2,20,1.5497207641601562e-06,0.9001026342798495,0.5467921886583451,0.5629207025954379,0.813159804769109,0.8142632014984512,2631,2923,
superseg,csm,2,21,1.6689300537109375e-06,0.8925761204242217,0.5435935718439945,0.5599742289984349,0.814584413947122,0.8134104171169224,2609,2923,
superseg,csm,2,22,1.8908749872715994e-06,0.8816284639069449,0.5418105590927518,0.5582668592123963,0.8172936027663713,0.8113396909444565,2577,2923,
superseg,csm,2,23,2.0265579223632812e-06,0.8775230927129661,0.5406759146146883,0.5569971380107538,0.8176424008837021,0.8105307314554668,2565,2923,
superseg,csm,2,24,2.205371856689453e-06,0.8686281217926788,0.5364855344787711,0.5527971524189376,0.8193578752731551,0.8088836959392935,2539,2923,
superseg,csm,2,25,2.384185791015625e-06,0.8628121792678755,0.5324116204956287,0.5490005959748774,0.8201037989578082,0.8074806990370531,2522,2923,
superseg,csm,2,26,2.562999725341797e-06,0.8556277796784126,0.5299658312873583,0.5462270205840554,0.8214485627836611,0.8065726832841053,2501,2923,
superseg,csm,2,27,2.8014183044433594e-06,0.8481012658227848,0.5254362584900095,0.5417730907519107,0.8221293494704992,0.805053520399587,2479,2923,
superseg,csm,2,28,2.9802322387695312e-06,0.8426274375641464,0.5226374687774528,0.5391255869697625,0.8230735357683164,0.804408454001873,2463,2923,
superseg,csm,2,29,3.2186508178710938e-06,0.833732466643859,0.5184771056912197,0.5345906111034704,0.8244077936267801,0.8025897209615063,2437,2923,
superseg,csm,2,30,3.4570693969726562e-06,0.8262059527882313,0.5158926377134083,0.5323663477218697,0.8258702242873953,0.8009318793074468,2415,2923,
superseg,csm,2,31,3.6954879760742188e-06,0.8179952104002737,0.5135260935163044,0.5299998035247658,0.8270763093437071,0.7991769324976585,2391,2923,
superseg,csm,2,32,3.874301910400391e-06,0.8111529250769757,0.5120294434190491,0.5288201334721759,0.8285855666018298,0.7983280503325888,2371,2923,
superseg,csm,2,33,4.172325134277344e-06,0.8039685254875129,0.5092126434766818,0.5258466445304569,0.829646669308167,0.7971270681747233,2350,2923,
superseg,csm,2,34,4.470348358154297e-06,0.7957577830995552,0.5060464450759903,0.5216214446169061,0.8303643769661166,0.7956799462094468,2326,2923,
superseg,csm,2,35,4.735723811777429e-06,0.7878891549777626,0.503431359707501,0.518545297365267,0.8313318264774391,0.7944237326801622,2303,2923,
superseg,csm,2,36,5.125999450683594e-06,0.7810468696544646,0.5017131837835762,0.5165749782239948,0.8330031758038566,0.7932086425089451,2283,2923,
superseg,csm,2,37,5.364418029785156e-06,0.7731782415326719,0.4968071971831873,0.5112151338323804,0.833930702639099,0.7910197992459717,2260,2923,
superseg,csm,2,38,5.781650543212891e-06,0.7666780704755388,0.493381651473224,0.5078436188118488,0.834712346612876,0.7903609250054031,2241,2923,
superseg,csm,2,39,6.079673767089844e-06,0.7605200136845707,0.49004975895827546,0.5043388280907191,0.8357311252791584,0.7888453641668468,2223,2923,
superseg,csm,2,40,6.4373016357421875e-06,0.7505986999657885,0.48521581327712854,0.49917709622702044,0.8365968169920515,0.7858852328122373,2194,2923,
superseg,csm,2,41,6.794929504394531e-06,0.7437564146424905,0.4820694261292286,0.4958037801835079,0.8376351067406287,0.7844834365919843,2174,2923,
