dataset,model,g,step,tau,bor,wf1,wf1_1to1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
dialseg711,texttiling,2,13,0.02626736480836303,1.7115572967678747,0.6601137897222575,0.6568731237507609,0.7433519685893104,0.9231469405731009,3495,2042,
dialseg711,texttiling,2,14,0.028101543909940296,1.6998041136141038,0.6595486414777845,0.6563210894434524,0.7452970269689679,0.9225197778467822,3471,2042,
dialseg711,texttiling,2,15,0.03090530813638889,1.6885406464250734,0.6580210881037496,0.65505049724459,0.7467902848440824,0.9215538066012748,3448,2042,
dialseg711,texttiling,2,16,0.033044014069902254,1.6807051909892263,0.6563873638217256,0.653844951735247,0.7478498812095858,0.9210389382066598,3432,2042,
dialseg711,texttiling,2,17,0.034780186324862385,1.67384916748286,0.6568393110265621,0.6548663166806626,0.7493519295207058,0.9209489129795037,3418,2042,
dialseg711,texttiling,2,18,0.03655398453599851,1.6650342801175317,0.6573445410676572,0.6556145058254762,0.7508916511289928,0.9205498550909944,3400,2042,
dialseg711,texttiling,2,19,0.03849937448549512,1.657688540646425,0.6585520840695595,0.6571590856400982,0.7524948592195427,0.9203692093055666,3385,2042,
dialseg711,texttiling,2,20,0.04039256364556413,1.6493633692458374,0.6586749405437372,0.6579705963672208,0.7541650420606116,0.9200939988932253,3368,2042,
dialseg711,texttiling,2,21,0.04188684235565634,1.6410381978452497,0.658146854783584,0.6578363424354986,0.755618394146875,0.919339416704044,3351,2042,
dialseg711,texttiling,2,22,0.04373504154047181,1.6317335945151812,0.657122284362141,0.6571395005994163,0.7570056340362248,0.918774596308,3332,2042,
dialseg711,texttiling,2,23,0.04573210220241069,1.6219392752203723,0.655104346878958,0.6550484677066956,0.7586201441159246,0.9180250930373997,3312,2042,
dialseg711,texttiling,2,24,0.04815839193574156,1.6145935357492653,0.6539787114395971,0.6539835691734426,0.7598164805970714,0.9169484181105138,3297,2042,
dialseg711,texttiling,2,25,0.04975935929085142,1.6043095004897159,0.6527905196403151,0.6524801889780791,0.7612270094337606,0.9163517195936323,3276,2042,
dialseg711,texttiling,2,26,0.051905380421547485,1.593535749265426,0.6524346570400721,0.6524497459096614,0.7632150432783344,0.9157067248399878,3254,2042,
dialseg711,texttiling,2,27,0.05369307244917256,1.5842311459353575,0.6507156384434163,0.6510923909658087,0.7645001213039188,0.9150789481784559,3235,2042,
dialseg711,texttiling,2,28,0.05559761919567934,1.5744368266405484,0.650536367317723,0.6508356544221522,0.7661903965701433,0.9146427193034085,3215,2042,
dialseg711,texttiling,2,29,0.057410831652095026,1.5612144955925564,0.6488006516262075,0.6488889216737318,0.7681180136085201,0.913028311546244,3188,2042,
dialseg711,texttiling,2,30,0.05947677963343099,1.5475024485798237,0.6469132646092933,0.6470286472396176,0.7704643623683709,0.9116587895227136,3160,2042,
dialseg711,texttiling,2,31,0.06135133328150269,1.5377081292850148,0.6471336879398001,0.6473637317519174,0.7719548296288802,0.9112676552884007,3140,2042,
dialseg711,texttiling,2,32,0.0637422082711704,1.5288932419196866,0.64625349881139,0.646427404444282,0.773317207679022,0.9104849809121961,3122,2042,
dialseg711,texttiling,2,33,0.06610650902417438,1.5200783545543586,0.645279672806539,0.6452665087686185,0.77469437598657,0.9096954602281607,3104,2042,
dialseg711,texttiling,2,34,0.06802375210289979,1.5102840352595495,0.6453455236019687,0.6452687412603024,0.7769388673133399,0.9091564251110664,3084,2042,
dialseg711,texttiling,2,35,0.07047133701830058,1.500979431929481,0.6450675783873147,0.64487359023224,0.7785055183525649,0.9083584767709242,3065,2042,
dialseg711,texttiling,2,36,0.0723593105473111,1.4872673849167484,0.6417631862643571,0.6415926392719641,0.7801062148899701,0.9064764304690462,3037,2042,
dialseg711,texttiling,2,37,0.07445774845142464,1.4740450538687562,0.6399259254076191,0.6397843210079497,0.7822270819897402,0.9050343152575925,3010,2042,
dialseg711,texttiling,2,38,0.07593264217352744,1.4627815866797258,0.6391920922587946,0.6392630341997431,0.7837164330044077,0.9037262797758578,2987,2042,
dialseg711,texttiling,2,39,0.07821345284356548,1.4495592556317336,0.6390699526248319,0.638946223334409,0.785921158073057,0.9024994511791277,2960,2042,
dialseg711,texttiling,2,40,0.0808507666815466,1.4407443682664054,0.6374612317034959,0.6371401375620784,0.7872347003676118,0.9021799258068597,2942,2042,
