dataset,model,g,step,tau,bor,wf1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
superseg,texttiling,2,18,0.04098112881183624,0.9517618884707493,0.5555440142407305,0.8139002053166199,0.825621953269457,2782,2923,
superseg,texttiling,2,19,0.042607817630372455,0.9449196031474513,0.5548019927725366,0.8154445825228731,0.824709885214802,2762,2923,
superseg,texttiling,2,20,0.045372691136508755,0.9384194320903182,0.5540959917639636,0.8164108313522082,0.8238483958888648,2743,2923,
superseg,texttiling,2,21,0.047544849577860614,0.9322613752993499,0.5515961718662618,0.817661041471556,0.822675929928199,2725,2923,
superseg,texttiling,2,22,0.04888293147087097,0.9250769757098871,0.5513962583153649,0.8188281043632784,0.8215076663544894,2704,2923,
superseg,texttiling,2,23,0.05113047458718171,0.9158398905234348,0.5501643585963245,0.8206445861249191,0.8199233664721561,2677,2923,
superseg,texttiling,2,24,0.05264978118278274,0.9093397194663018,0.5463569960143778,0.8220322743318205,0.818468440073962,2658,2923,
superseg,texttiling,2,25,0.05532464654601401,0.9007868628121792,0.5434447418540148,0.8235629937804673,0.8167433602286097,2633,2923,
superseg,texttiling,2,26,0.0575953594703771,0.8932603489565515,0.541127425618393,0.8246724239367961,0.8154868465288283,2611,2923,
superseg,texttiling,2,27,0.05997376495869317,0.8843653780362641,0.5368085725098273,0.8264468818288787,0.8137911833921667,2585,2923,
superseg,texttiling,2,28,0.06256775078761517,0.8768388641806363,0.5358360201000585,0.8282872271450183,0.8125874996998296,2563,2923,
superseg,texttiling,2,29,0.06471651863662443,0.8699965788573384,0.5333398022483188,0.829069771630286,0.8105787587349615,2543,2923,
superseg,texttiling,2,30,0.06717130272232706,0.8641806363325351,0.5309660539592906,0.8297985855966189,0.8090764053982663,2526,2923,
superseg,texttiling,2,31,0.06959730012332975,0.8580225795415669,0.5309876662350632,0.8312252959681099,0.8085700177700935,2508,2923,
superseg,texttiling,2,32,0.07153690909620507,0.850496065685939,0.5289837279981446,0.832328422544005,0.807088676368177,2486,2923,
superseg,texttiling,2,33,0.07324343373128517,0.8429695518303113,0.5257256774254194,0.8330281199721443,0.8057138954926398,2464,2923,
superseg,texttiling,2,34,0.07469538636692806,0.8357851522408485,0.5241129432105671,0.8344368201138247,0.8048503049732246,2443,2923,
superseg,texttiling,2,35,0.07727972901047177,0.8279165241190558,0.5225310446922087,0.8358834918233556,0.8032439425593736,2420,2923,
superseg,texttiling,2,36,0.08041253251646034,0.8200478959972631,0.5212162979160399,0.8373972516389308,0.8021219052421775,2397,2923,
superseg,texttiling,2,37,0.08230897919017467,0.8118371536093055,0.5193294261728897,0.8388824952573062,0.8006012415051749,2373,2923,
superseg,texttiling,2,38,0.08469961778302887,0.8056790968183373,0.5173555049856554,0.8399835206397234,0.7994813053814566,2355,2923,
superseg,texttiling,2,39,0.08657911914077834,0.7984946972288745,0.5163181157485687,0.8414582582907092,0.7977289100208919,2334,2923,
superseg,texttiling,2,40,0.0887409468092512,0.7909681833732467,0.5145254975414272,0.8430526138846866,0.7964973104723483,2312,2923,
superseg,texttiling,2,41,0.09111672782119196,0.7820732124529592,0.5143994259327533,0.844802757966525,0.7942559373724275,2286,2923,
superseg,texttiling,2,42,0.09359308223628524,0.772836127266507,0.5120004633219905,0.8461811408880244,0.7926049996397955,2259,2923,
superseg,texttiling,2,43,0.095885674108812,0.7632569278138899,0.5087334076343599,0.8482851859856398,0.7909168407655549,2231,2923,
superseg,texttiling,2,44,0.09831030363563317,0.7543619568936024,0.5072205483302751,0.8505409672694089,0.7895069399418869,2205,2923,
superseg,texttiling,2,45,0.09971602635467472,0.7471775573041396,0.5028656747620884,0.8512889921475397,0.7878617054486948,2184,2923,
superseg,texttiling,2,46,0.10279487253133975,0.738966814916182,0.4982730661604026,0.852563215906635,0.7861183152030353,2160,2923,
superseg,texttiling,2,47,0.10487512517814068,0.7297297297297297,0.4935705951568727,0.8535833453401531,0.7840501404797925,2133,2923,
